fmun_cod;fmun;ano;mes;mes_ano;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;cvli;roubo_rua;registro_ocorrencias;fase
3300100;Angra dos Reis;2014;1;2014m01;Interior;11;0;0;1;12;2;96;7;4;37;4;0;8;0;5;1;0;0;1;0;0;0;5;23;18;3;3;11;0;98;134;0;0;0;21;35;18;12;5;9;28;6;8;0;98;13;3;0;0;0;11;7;561;3
3300159;Aperibé;2014;1;2014m01;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3300209;Araruama;2014;1;2014m01;Interior;2;0;0;0;2;6;69;7;1;45;3;2;9;0;6;0;0;0;1;0;0;0;2;23;16;2;1;10;0;76;105;0;2;0;18;13;9;4;1;4;34;5;5;0;91;10;1;0;0;0;2;7;480;3
3300225;Areal;2014;1;2014m01;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3300233;Armação dos Búzios;2014;1;2014m01;Interior;2;0;0;0;2;0;44;6;0;26;0;0;2;0;5;0;0;0;1;0;0;0;20;12;9;9;2;7;0;74;117;0;0;0;4;16;6;10;2;2;26;8;3;2;46;0;0;0;0;0;2;6;309;3
3300258;Arraial do Cabo;2014;1;2014m01;Interior;0;0;0;0;0;0;32;2;0;6;0;0;2;0;1;0;0;0;0;0;0;0;6;6;3;3;0;1;0;39;49;0;0;0;8;15;4;10;1;2;7;1;1;0;26;0;0;0;0;0;0;1;176;3
3300308;Barra do Piraí;2014;1;2014m01;Interior;1;0;0;0;1;3;52;5;0;7;1;0;1;1;2;0;0;0;0;0;0;0;2;7;5;0;1;5;0;27;38;0;0;0;4;12;7;5;1;2;19;3;19;0;56;0;0;0;0;0;1;2;248;3
3300407;Barra Mansa;2014;1;2014m01;Interior;5;0;0;0;5;6;62;4;0;18;9;1;4;0;3;0;0;0;0;0;0;0;1;18;20;4;0;11;0;87;122;0;0;0;5;19;8;10;1;11;28;1;25;0;54;2;1;0;0;0;5;3;430;3
3300456;Belford Roxo;2014;1;2014m01;Baixada Fluminense;29;0;0;0;29;7;256;11;2;45;10;2;73;23;173;8;0;0;1;0;3;0;14;307;27;18;3;10;0;112;170;0;2;0;29;35;2;29;4;91;64;15;16;0;231;22;3;0;0;0;29;182;1367;3
3300506;Bom Jardim;2014;1;2014m01;Interior;0;0;0;0;0;0;7;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;0;1;0;0;6;9;0;0;0;3;4;2;2;0;0;1;0;3;1;11;1;0;0;0;0;0;0;59;3
